"Comment","Designator","Footprint","JLCPCB Part #"
"100n","C1,C2,C13","Capacitor_SMD:C_0805_2012Metric","C28233"
"470p","C3","Capacitor_SMD:C_0805_2012Metric","C1743"
"22p","C4,C5,C6","Capacitor_SMD:C_0805_2012Metric","C1804"
"1u","C7,C8,C9,C10,C11,C12","Capacitor_SMD:C_0805_2012Metric","C28323"
"SS14","D1,D2","Diode_SMD:D_SMA","C2480"
"RED","D3,D4,D5,D6,D7","LED_SMD:LED_0805_2012Metric","C84256"
"0R","R1,R2","Resistor_SMD:R_0805_2012Metric","C17477"
"100R","R3,R4,R5","Resistor_SMD:R_0805_2012Metric","C17408"
"10k","R6,R7,R8,R14,R15","Resistor_SMD:R_0805_2012Metric","C17414"
"47k","R9","Resistor_SMD:R_0805_2012Metric","C17713"
"3R3","R10,R12","Resistor_SMD:R_0805_2012Metric","C16257"
"10R","R11,R13","Resistor_SMD:R_0805_2012Metric","C17415"
"1k","R16,R17,R18,R19,R20","Resistor_SMD:R_0805_2012Metric","C17513"
"UCC21520ADW","U3","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","C2863027"
"74HC14","U4","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C5605"
