Designator,Value,Package,"Mid X","Mid Y",Rotation,Layer
C1,100n,C_0805_2012Metric,31.2420,29.5300,90.0000,top
C2,100n,C_0805_2012Metric,10.9220,30.4800,180.0000,top
C3,470p,C_0805_2012Metric,15.7480,31.2420,90.0000,top
C4,22p,C_0805_2012Metric,24.8920,29.2100,90.0000,top
C5,22p,C_0805_2012Metric,22.8600,31.2420,90.0000,top
C6,22p,C_0805_2012Metric,18.4760,32.7660,0.0000,top
C7,1u,C_0805_2012Metric,20.0660,30.7340,180.0000,top
C8,1u,C_0805_2012Metric,10.9220,28.4480,180.0000,top
C9,1u,C_0805_2012Metric,20.0660,15.7480,-90.0000,top
C10,1u,C_0805_2012Metric,13.7160,15.7480,-90.0000,top
C11,1u,C_0805_2012Metric,22.6060,15.7480,-90.0000,top
C12,1u,C_0805_2012Metric,16.2560,15.7480,-90.0000,top
C13,100n,C_0805_2012Metric,52.8320,17.7800,-90.0000,top
D1,SS14,D_SMA,22.6060,9.3980,180.0000,top
D2,SS14,D_SMA,13.7160,9.3980,0.0000,top
D3,RED,LED_0805_2012Metric,64.7700,29.7180,0.0000,top
D4,RED,LED_0805_2012Metric,64.7700,27.1780,0.0000,top
D5,RED,LED_0805_2012Metric,64.7700,32.2580,0.0000,top
D6,RED,LED_0805_2012Metric,64.7700,24.6380,0.0000,top
D7,RED,LED_0805_2012Metric,64.7700,34.7980,0.0000,top
FID1,Fiducial,Fiducial_0.5mm_Mask1mm,2.0000,38.0000,0.0000,top
FID2,Fiducial,Fiducial_0.5mm_Mask1mm,73.0000,2.0000,0.0000,top
R1,0R,R_0805_2012Metric,47.2440,23.6220,90.0000,top
R2,0R,R_0805_2012Metric,50.2920,24.6380,0.0000,top
R3,100R,R_0805_2012Metric,29.9720,32.7660,180.0000,top
R4,100R,R_0805_2012Metric,22.8600,35.0520,-90.0000,top
R5,100R,R_0805_2012Metric,18.2880,35.8140,-90.0000,top
R6,10k,R_0805_2012Metric,27.1780,33.5280,-90.0000,top
R7,10k,R_0805_2012Metric,24.8920,35.0520,-90.0000,top
R8,10k,R_0805_2012Metric,16.2560,35.8140,-90.0000,top
R9,47k,R_0805_2012Metric,13.7160,31.2420,-90.0000,top
R10,3R3,R_0805_2012Metric,24.3840,12.1920,0.0000,top
R11,10R,R_0805_2012Metric,20.8280,12.1920,180.0000,top
R12,3R3,R_0805_2012Metric,11.9380,12.1920,180.0000,top
R13,10R,R_0805_2012Metric,15.4940,12.1920,0.0000,top
R14,10k,R_0805_2012Metric,22.7565,6.6040,180.0000,top
R15,10k,R_0805_2012Metric,12.5965,6.6040,180.0000,top
R16,1k,R_0805_2012Metric,61.2140,29.7180,0.0000,top
R17,1k,R_0805_2012Metric,61.2140,27.1780,0.0000,top
R18,1k,R_0805_2012Metric,61.2140,32.2580,0.0000,top
R19,1k,R_0805_2012Metric,61.2140,24.6380,0.0000,top
R20,1k,R_0805_2012Metric,61.2140,34.7980,0.0000,top
U3,UCC21520ADW,SOIC-16W_7.5x10.3mm_P1.27mm,18.1610,23.4460,-90.0000,top
U4,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,58.6740,16.2560,90.0000,top
