"Reference","Value","Footprint","JLCPCB Part #"
"C1,C3,C5,C7,C21","220n","Capacitor_SMD:C_0805_2012Metric","C6119933"
"C2,C4,C6,C10,C11,C12,C13,C16,C17","10u","Capacitor_SMD:C_0805_2012Metric","C15850"
"C8","33p","Capacitor_SMD:C_0805_2012Metric","C107115"
"C9,C14,C15","100n","Capacitor_SMD:C_0805_2012Metric","C28233"
"C18,C19,C20","330n","Capacitor_SMD:C_0805_2012Metric","C1740"
"D2","BZX384B15-HE3_A08","Diode_SMD:D_SOD-323F","C49296788"
"D4","ES3D","Diode_SMD:D_SMC","C16235"
"L1","ASPI-6045S-1R8N-T","Inductor_SMD:L_APV_ANR6045","C2997654"
"L2","AMRM00101040220MA1","Inductor_SMD:L_10.4x10.4_H4.8","C10165"
"Q1","BC847BS","Package_TO_SOT_SMD:SOT-363_SC-70-6","C8653"
"Q2","BC857BS","Package_TO_SOT_SMD:SOT-363_SC-70-6","C8654"
"Q3","IRFR5305","Package_TO_SOT_SMD:TO-252-2","C2624"
"Q4","IRFR4105","Package_TO_SOT_SMD:TO-252-2","C22366766"
"R1","2k2","Resistor_SMD:R_0805_2012Metric","C17520"
"R2","110k","Resistor_SMD:R_0805_2012Metric","C4310"
"R3","15k","Resistor_SMD:R_0805_2012Metric","C17475"
"R4,R7,R19,R20","47k","Resistor_SMD:R_0805_2012Metric","C17713"
"R5","12k","Resistor_SMD:R_0805_2012Metric","C17444"
"R6","22k","Resistor_SMD:R_0805_2012Metric","C17560"
"R8,R10","3k3","Resistor_SMD:R_0805_2012Metric","C26010"
"R9,R17,R18","100k","Resistor_SMD:R_0805_2012Metric","C149504"
"R13,R14","180R","Resistor_SMD:R_0805_2012Metric","C1339"
"R15,R16","10k","Resistor_SMD:R_0805_2012Metric","C17414"
"U1","LMR51625","Package_TO_SOT_SMD:SOT-23-6","C45262767"
"U2","TPS564242","Package_TO_SOT_SMD:SOT-563","C5219267"
