Designator,MidX,MidY,Layer,Rotation
C1,137.8560,-116.3930,top,-90.0000
C2,124.7800,-76.9620,top,180.0000
C3,138.8060,-113.4110,top,0.0000
C4,125.7300,-80.1980,top,-90.0000
C5,134.7470,-115.4430,top,180.0000
C6,128.0160,-79.4868,top,-90.0000
C7,135.6970,-112.5880,top,90.0000
C8,120.1420,-80.1980,top,-90.0000
C9,142.1740,-109.4740,top,-90.0000
C10,156.9670,-109.4740,top,0.0000
C11,129.4080,-85.5980,top,0.0000
C12,156.0170,-112.7760,top,-90.0000
C13,126.4260,-86.9340,top,90.0000
C14,198.5620,-103.4440,top,90.0000
C15,201.6100,-88.8340,top,90.0000
C16,195.7680,-88.8340,top,90.0000
C17,195.7680,-103.4440,top,90.0000
C18,182.5600,-86.2940,top,90.0000
C19,182.5600,-106.1720,top,90.0000
C20,127.7620,-90.1700,top,0.0000
C21,133.6040,-112.5880,top,90.0000
D2,131.5060,-113.5380,top,90.0000
D4,173.6700,-97.5360,top,-90.0000
L1,132.5220,-80.7720,top,-90.0000
L2,149.0320,-110.4900,top,0.0000
Q1,114.6000,-99.6055,top,90.0000
Q2,124.4650,-95.6870,top,-90.0000
Q3,118.7660,-90.1640,top,180.0000
Q4,120.2900,-105.1500,top,0.0000
R1,117.3480,-78.3355,top,-90.0000
R2,122.1740,-80.1605,top,-90.0000
R3,123.0205,-85.0900,top,0.0000
R4,131.5060,-117.6020,top,90.0000
R5,131.5060,-109.7280,top,90.0000
R6,124.6480,-83.0580,top,180.0000
R7,140.6500,-105.5135,top,-90.0000
R8,137.8560,-105.5135,top,90.0000
R9,137.6020,-78.3825,top,-90.0000
R10,160.8430,-108.8390,top,90.0000
R13,186.1160,-86.2565,top,90.0000
R14,186.1160,-106.1720,top,90.0000
R15,113.7260,-95.5040,top,-90.0000
R16,125.4100,-99.8220,top,-90.0000
R17,115.7580,-95.5040,top,-90.0000
R18,123.3780,-99.8220,top,-90.0000
R19,117.7900,-95.5040,top,-90.0000
R20,121.3460,-99.8220,top,-90.0000
U1,138.9935,-110.5560,top,0.0000
U2,127.6960,-83.5740,top,180.0000
